2022-09-02 14:22:21 2094 | Message | Login服务器开始监听127.0.0.1:20001
2022-09-02 14:22:21 3468 | Message | 初始化Realm
2022-09-02 14:22:21 3475 | Message | Realm  127.0.0.1  20002
2022-09-02 14:22:21 3499 | Message | Realm服务器开始监听127.0.0.1:20002
2022-09-02 14:22:21 3501 | Message | 初始化Gate
2022-09-02 14:22:21 3507 | Message | Gate  127.0.0.1  20003
2022-09-02 14:22:21 3528 | Message | Gate服务器开始监听127.0.0.1:20003
2022-09-02 14:22:21 3530 | Message | 初始化World
2022-09-02 14:22:21 3536 | Message | World  127.0.0.1  20004
2022-09-02 14:22:21 3549 | Message | World服务器开始监听127.0.0.1:20004
2022-09-02 14:22:30 3567 | Message | 127.0.0.1:53341 正在连接
2022-09-02 14:22:30 3573 | Message | 127.0.0.1:53341 连接成功
2022-09-02 14:22:30 3786 | Message | ServTcpRecv: [Login] PostMainland.ProtocalRequest
2022-09-02 14:24:20 0434 | Message | Main启动,pid:2272
2022-09-02 14:24:20 0505 | Message | 初始化Login
2022-09-02 14:24:20 0716 | Message | Login  127.0.0.1  20001
2022-09-02 14:24:20 0993 | Message | Login服务器开始监听127.0.0.1:20001
2022-09-02 14:24:20 2244 | Message | 初始化Realm
2022-09-02 14:24:20 2251 | Message | Realm  127.0.0.1  20002
2022-09-02 14:24:20 2268 | Message | Realm服务器开始监听127.0.0.1:20002
2022-09-02 14:24:20 2269 | Message | 初始化Gate
2022-09-02 14:24:20 2275 | Message | Gate  127.0.0.1  20003
2022-09-02 14:24:20 2291 | Message | Gate服务器开始监听127.0.0.1:20003
2022-09-02 14:24:20 2293 | Message | 初始化World
2022-09-02 14:24:20 2298 | Message | World  127.0.0.1  20004
2022-09-02 14:24:20 2312 | Message | World服务器开始监听127.0.0.1:20004
2022-09-02 14:24:32 3193 | Message | 127.0.0.1:53398 正在连接
2022-09-02 14:24:32 3199 | Message | 127.0.0.1:53398 连接成功
2022-09-02 14:24:32 3533 | Message | ServTcpRecv: [Login] [C2S_Login:[Account:"baoyu";Password:"";RpcId:"1"]]
2022-09-02 14:27:29 1060 | Message | Main启动,pid:33768
2022-09-02 14:27:29 1135 | Message | 初始化Login
2022-09-02 14:27:29 1353 | Message | Login  127.0.0.1  20001
2022-09-02 14:27:29 1638 | Message | Login服务器开始监听127.0.0.1:20001
2022-09-02 14:27:29 2929 | Message | 初始化Realm
2022-09-02 14:27:29 2941 | Message | Realm  127.0.0.1  20002
2022-09-02 14:27:29 3015 | Message | Realm服务器开始监听127.0.0.1:20002
2022-09-02 14:27:29 3017 | Message | 初始化Gate
2022-09-02 14:27:29 3023 | Message | Gate  127.0.0.1  20003
2022-09-02 14:27:29 3049 | Message | Gate服务器开始监听127.0.0.1:20003
2022-09-02 14:27:29 3052 | Message | 初始化World
2022-09-02 14:27:29 3058 | Message | World  127.0.0.1  20004
2022-09-02 14:27:29 3078 | Message | World服务器开始监听127.0.0.1:20004
2022-09-02 14:28:20 2613 | Message | Main启动,pid:21460
2022-09-02 14:28:20 2690 | Message | 初始化Login
2022-09-02 14:28:20 2911 | Message | Login  127.0.0.1  20001
2022-09-02 14:28:20 3187 | Message | Login服务器开始监听127.0.0.1:20001
2022-09-02 14:28:20 4414 | Message | 初始化Realm
2022-09-02 14:28:20 4422 | Message | Realm  127.0.0.1  20002
2022-09-02 14:28:20 4437 | Message | Realm服务器开始监听127.0.0.1:20002
2022-09-02 14:28:20 4439 | Message | 初始化Gate
2022-09-02 14:28:20 4444 | Message | Gate  127.0.0.1  20003
2022-09-02 14:28:20 4459 | Message | Gate服务器开始监听127.0.0.1:20003
2022-09-02 14:28:20 4461 | Message | 初始化World
2022-09-02 14:28:20 4467 | Message | World  127.0.0.1  20004
2022-09-02 14:28:20 4482 | Message | World服务器开始监听127.0.0.1:20004
2022-09-02 14:28:27 9320 | Message | 127.0.0.1:53509 正在连接
2022-09-02 14:28:27 9326 | Message | 127.0.0.1:53509 连接成功
2022-09-02 14:28:27 9647 | Message | ServTcpRecv: [Login] [C2S_Login:[Account:"baoyu";Password:"";RpcId:"1"]]
2022-09-02 14:28:39 4812 | Message | Main启动,pid:9504
2022-09-02 14:28:39 4886 | Message | 初始化Login
2022-09-02 14:28:39 5384 | Message | Login  127.0.0.1  20001
2022-09-02 14:28:39 5996 | Message | Login服务器开始监听127.0.0.1:20001
2022-09-02 14:28:39 7993 | Message | 初始化Realm
2022-09-02 14:28:39 8001 | Message | Realm  127.0.0.1  20002
2022-09-02 14:28:39 8057 | Message | Realm服务器开始监听127.0.0.1:20002
2022-09-02 14:28:39 8059 | Message | 初始化Gate
2022-09-02 14:28:39 8066 | Message | Gate  127.0.0.1  20003
2022-09-02 14:28:39 8133 | Message | Gate服务器开始监听127.0.0.1:20003
2022-09-02 14:28:39 8136 | Message | 初始化World
2022-09-02 14:28:39 8143 | Message | World  127.0.0.1  20004
2022-09-02 14:28:39 8278 | Message | World服务器开始监听127.0.0.1:20004
2022-09-02 14:29:38 1524 | Message | 127.0.0.1:53549 正在连接
2022-09-02 14:29:38 1533 | Message | 127.0.0.1:53549 连接成功
2022-09-02 14:29:38 1923 | Message | ServTcpRecv: [Login] [C2S_Login:[Account:"baoyu";Password:"";RpcId:"1"]]
2022-09-02 14:32:13 3107 | Message | Main启动,pid:31688
2022-09-02 14:32:13 3211 | Message | 初始化Login
2022-09-02 14:32:13 3448 | Message | Login  127.0.0.1  20001
2022-09-02 14:32:13 3750 | Message | Login服务器开始监听127.0.0.1:20001
2022-09-02 14:32:13 5087 | Message | 初始化Realm
2022-09-02 14:32:13 5095 | Message | Realm  127.0.0.1  20002
2022-09-02 14:32:13 5123 | Message | Realm服务器开始监听127.0.0.1:20002
2022-09-02 14:32:13 5125 | Message | 初始化Gate
2022-09-02 14:32:13 5131 | Message | Gate  127.0.0.1  20003
2022-09-02 14:32:13 5149 | Message | Gate服务器开始监听127.0.0.1:20003
2022-09-02 14:32:13 5151 | Message | 初始化World
2022-09-02 14:32:13 5157 | Message | World  127.0.0.1  20004
2022-09-02 14:32:13 5175 | Message | World服务器开始监听127.0.0.1:20004
2022-09-02 14:32:19 6440 | Message | 127.0.0.1:53629 正在连接
2022-09-02 14:32:19 6446 | Message | 127.0.0.1:53629 连接成功
2022-09-02 14:32:19 6805 | Message | ServTcpRecv: [Login] [C2S_Login:[Account:"baoyu";Password:"";RpcId:"1"]]
2022-09-02 14:33:02 4787 | Message | 127.0.0.1:53658 正在连接
2022-09-02 14:33:02 4790 | Message | 127.0.0.1:53658 连接成功
2022-09-02 14:33:02 5051 | Message | ServTcpRecv: [Login] [C2S_Login:[Account:"baoyu";Password:"";RpcId:"1"]]
2022-09-02 14:35:12 9064 | Message | Main启动,pid:5096
2022-09-02 14:35:12 9150 | Message | 初始化Login
